Client,CustomerAccountNumber,AdjustmentTypeCode,EffectiveOn,SundryTypeCode,Amount,Reference,GLAccountCode,GLDescription,Reserved1,Reserved2
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00016,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00017,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00018,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00019,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00020,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00021,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000179,TBSUB,8/1/2020,6302,1.8,VIN00022,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00023,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00024,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00025,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00026,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00027,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00028,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00029,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00030,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00031,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00032,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00033,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00034,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00035,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000187,TBSUB,8/1/2020,6302,1.8,VIN00036,G15,Badge Telepeage - Remboursement Abonnement Juin1000002233,,
WFE France,15000195,TBSUB,8/1/2020,6302,1.8,VIN00037,G15,Badge Telepeage - Remboursement Abonnement Juin1000002234,,
WFE France,15000196,TBSUB,8/1/2020,6302,1.8,VIN00038,G15,Badge Telepeage - Remboursement Abonnement Juin1000002235,,
WFE France,15000196,TBSUB,8/1/2020,6302,1.8,VIN00039,G15,Badge Telepeage - Remboursement Abonnement Juin1000002235,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00040,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00041,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00042,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00043,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00044,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00045,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00046,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00047,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00048,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00049,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00050,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00051,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00052,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00053,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000197,TBSUB,8/1/2020,6302,1.8,VIN00054,G15,Badge Telepeage - Remboursement Abonnement Juin1000002236,,
WFE France,15000203,TBSUB,8/1/2020,6302,1.8,VIN00055,G15,Badge Telepeage - Remboursement Abonnement Juin1000002237,,
WFE France,15000203,TBSUB,8/1/2020,6302,1.8,VIN00056,G15,Badge Telepeage - Remboursement Abonnement Juin1000002237,,
WFE France,15000205,TBSUB,8/1/2020,6302,1.8,VIN00057,G15,Badge Telepeage - Remboursement Abonnement Juin1000002238,,
WFE France,15000276,TBSUB,8/1/2020,6302,1.8,VIN00058,G15,Badge Telepeage - Remboursement Abonnement Juin1000002239,,
WFE France,15000280,TBSUB,8/1/2020,6302,1.8,VIN00059,G15,Badge Telepeage - Remboursement Abonnement Juin1000002240,,
WFE France,15000324,TBSUB,8/1/2020,6302,1.8,VIN00060,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000326,TBSUB,8/1/2020,6302,1.8,VIN00061,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000326,TBSUB,8/1/2020,6302,1.8,VIN00062,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000326,TBSUB,8/1/2020,6302,1.8,VIN00063,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000326,TBSUB,8/1/2020,6302,1.8,VIN00064,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000326,TBSUB,8/1/2020,6302,1.8,VIN00065,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000326,TBSUB,8/1/2020,6302,1.8,VIN00066,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000326,TBSUB,8/1/2020,6302,1.8,VIN00067,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000328,TBSUB,8/1/2020,6302,1.8,VIN00068,G15,Badge Telepeage - Remboursement Abonnement Juin1000002241,,
WFE France,15000333,TBSUB,8/1/2020,6302,1.8,VIN00069,G15,Badge Telepeage - Remboursement Abonnement Juin1000002242,,
WFE France,15000343,TBSUB,8/1/2020,6302,1.8,VIN00070,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000343,TBSUB,8/1/2020,6302,1.8,VIN00071,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000399,TBSUB,8/1/2020,6302,1.8,VIN00072,G15,Badge Telepeage - Remboursement Abonnement Juin1000002244,,
WFE France,15000399,TBSUB,8/1/2020,6302,1.8,VIN00073,G15,Badge Telepeage - Remboursement Abonnement Juin1000002244,,
WFE France,15000406,TBSUB,8/1/2020,6302,1.8,VIN00074,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000406,TBSUB,8/1/2020,6302,1.8,VIN00075,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000409,TBSUB,8/1/2020,6302,1.8,VIN00076,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000442,TBSUB,8/1/2020,6302,1.8,VIN00077,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000442,TBSUB,8/1/2020,6302,1.8,VIN00078,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000482,TBSUB,8/1/2020,6302,1.8,VIN00079,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000482,TBSUB,8/1/2020,6302,1.8,VIN00080,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000482,TBSUB,8/1/2020,6302,1.8,VIN00081,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00082,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00083,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00084,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00085,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00086,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00087,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00088,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00089,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00090,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00091,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00092,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00093,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000483,TBSUB,8/1/2020,6302,1.8,VIN00094,G15,Badge Telepeage - Remboursement Abonnement Juin1000002245,,
WFE France,15000484,TBSUB,8/1/2020,6302,1.8,VIN00095,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000486,TBSUB,8/1/2020,6302,1.8,VIN00096,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000486,TBSUB,8/1/2020,6302,1.8,VIN00097,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000486,TBSUB,8/1/2020,6302,1.8,VIN00098,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000486,TBSUB,8/1/2020,6302,1.8,VIN00099,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000486,TBSUB,8/1/2020,6302,1.8,VIN00100,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000486,TBSUB,8/1/2020,6302,1.8,VIN00101,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000486,TBSUB,8/1/2020,6302,1.8,VIN00102,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000486,TBSUB,8/1/2020,6302,1.8,VIN00103,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000503,TBSUB,8/1/2020,6302,1.8,VIN00104,G15,Badge Telepeage - Remboursement Abonnement Juin1000002246,,
WFE France,15000504,TBSUB,8/1/2020,6302,1.8,VIN00105,G15,Badge Telepeage - Remboursement Abonnement Juin1000002247,,
WFE France,15000504,TBSUB,8/1/2020,6302,1.8,VIN00106,G15,Badge Telepeage - Remboursement Abonnement Juin1000002247,,
WFE France,15000504,TBSUB,8/1/2020,6302,1.8,VIN00107,G15,Badge Telepeage - Remboursement Abonnement Juin1000002247,,
WFE France,15000504,TBSUB,8/1/2020,6302,1.8,VIN00108,G15,Badge Telepeage - Remboursement Abonnement Juin1000002247,,
WFE France,15000504,TBSUB,8/1/2020,6302,1.8,VIN00109,G15,Badge Telepeage - Remboursement Abonnement Juin1000002247,,
WFE France,15000504,TBSUB,8/1/2020,6302,1.8,VIN00110,G15,Badge Telepeage - Remboursement Abonnement Juin1000002247,,
WFE France,15000504,TBSUB,8/1/2020,6302,1.8,VIN00111,G15,Badge Telepeage - Remboursement Abonnement Juin1000002247,,
WFE France,15000505,TBSUB,8/1/2020,6302,1.8,VIN00112,G15,Badge Telepeage - Remboursement Abonnement Juin1000002248,,
WFE France,15000505,TBSUB,8/1/2020,6302,1.8,VIN00113,G15,Badge Telepeage - Remboursement Abonnement Juin1000002248,,
WFE France,15000520,TBSUB,8/1/2020,6302,1.8,VIN00114,G15,Badge Telepeage - Remboursement Abonnement Juin1000002249,,
WFE France,15000536,TBSUB,8/1/2020,6302,1.8,VIN00115,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000536,TBSUB,8/1/2020,6302,1.8,VIN00116,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000590,TBSUB,8/1/2020,6302,1.8,VIN00117,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000595,TBSUB,8/1/2020,6302,1.8,VIN00118,G15,Badge Telepeage - Remboursement Abonnement Juin1000002250,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00119,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00120,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00121,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00122,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00123,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00124,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00125,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00126,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00127,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00128,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00129,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00130,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000618,TBSUB,8/1/2020,6302,1.8,VIN00131,G15,Badge Telepeage - Remboursement Abonnement Juin1000004463,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00132,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00133,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00134,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00135,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00136,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00137,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00138,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00139,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00140,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00141,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000622,TBSUB,8/1/2020,6302,1.8,VIN00142,G15,Badge Telepeage - Remboursement Abonnement Juin1000004001,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00143,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00144,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00145,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00146,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00147,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00148,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00149,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00150,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00151,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00152,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000624,TBSUB,8/1/2020,6302,1.8,VIN00153,G15,Badge Telepeage - Remboursement Abonnement Juin1000004989,,
WFE France,15000656,TBSUB,8/1/2020,6302,1.8,VIN00154,G15,Badge Telepeage - Remboursement Abonnement Juin1000002251,,
WFE France,15000656,TBSUB,8/1/2020,6302,1.8,VIN00155,G15,Badge Telepeage - Remboursement Abonnement Juin1000002251,,
WFE France,15000729,TBSUB,8/1/2020,6302,1.8,VIN00156,G15,Badge Telepeage - Remboursement Abonnement Juin1000005375,,
WFE France,15000729,TBSUB,8/1/2020,6302,1.8,VIN00157,G15,Badge Telepeage - Remboursement Abonnement Juin1000005375,,
WFE France,15000729,TBSUB,8/1/2020,6302,1.8,VIN00158,G15,Badge Telepeage - Remboursement Abonnement Juin1000005375,,
WFE France,15000729,TBSUB,8/1/2020,6302,1.8,VIN00159,G15,Badge Telepeage - Remboursement Abonnement Juin1000005375,,
WFE France,15000729,TBSUB,8/1/2020,6302,1.8,VIN00160,G15,Badge Telepeage - Remboursement Abonnement Juin1000005375,,
WFE France,15000749,TBSUB,8/1/2020,6302,1.8,VIN00161,G15,Badge Telepeage - Remboursement Abonnement Juin1000006774,,
WFE France,15000749,TBSUB,8/1/2020,6302,1.8,VIN00162,G15,Badge Telepeage - Remboursement Abonnement Juin1000006774,,
WFE France,15000749,TBSUB,8/1/2020,6302,1.8,VIN00163,G15,Badge Telepeage - Remboursement Abonnement Juin1000006774,,
WFE France,15000749,TBSUB,8/1/2020,6302,1.8,VIN00164,G15,Badge Telepeage - Remboursement Abonnement Juin1000006774,,
WFE France,15000749,TBSUB,8/1/2020,6302,1.8,VIN00165,G15,Badge Telepeage - Remboursement Abonnement Juin1000006774,,
WFE France,15000796,TBSUB,8/1/2020,6302,1.8,VIN00166,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000796,TBSUB,8/1/2020,6302,1.8,VIN00167,G15,Badge Telepeage - Remboursement Abonnement Juin1000005848,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00168,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00169,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00170,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00171,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00172,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00173,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00174,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00175,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00176,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00177,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00178,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00179,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00180,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00181,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000837,TBSUB,8/1/2020,6302,1.8,VIN00182,G15,Badge Telepeage - Remboursement Abonnement Juin1000005494,,
WFE France,15000864,TBSUB,8/1/2020,6302,1.8,VIN00183,G15,Badge Telepeage - Remboursement Abonnement Juin1000002252,,
WFE France,15000901,TBSUB,8/1/2020,6302,1.8,VIN00184,G15,Badge Telepeage - Remboursement Abonnement Juin1000002253,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00185,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00186,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00187,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00188,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00189,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00190,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00191,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00192,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00193,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00194,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00195,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00196,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00197,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00198,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00199,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00200,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00201,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00202,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00203,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00204,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00205,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
WFE France,15000940,TBSUB,8/1/2020,6302,1.8,VIN00206,G15,Badge Telepeage - Remboursement Abonnement Juin1000004335,,
